Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
3.68,0,1.453561,0.8097256,-10.93206,-19.43147,4.53755,4.07158,6.663151
3.7,0,1.400321,0.7059822,-4.748848,-17.38021,4.53755,4.046638,12.14931
3.72,0,1.326215,0.6520612,-2.535107,-15.77759,4.53755,4.07535,15.07641
3.74,0,1.272634,0.6266719,-2.672511,-14.53867,4.60503,4.150715,18.71296
3.76,0,1.274749,0.6341112,-0.2144953,-13.71775,4.53755,4.228986,12.62139
3.78,0,1.249063,0.6411428,-1.176328,-13.08821,4.60503,4.300776,13.12382
3.8,0,1.26044,0.6601899,-0.1686933,-12.70316,4.67251,4.39023,13.85645
3.82,0,1.260519,0.6770927,-0.03128911,-12.44586,4.67251,4.471599,9.900975
3.84,0,1.271575,0.6952612,-0.04655629,-12.30849,4.67251,4.527531,6.088609
3.86,0,1.292189,0.716109,0.4114593,-12.28134,4.60503,4.544053,-0.1967112
3.88,0,1.302155,0.7321841,0.3351234,-12.29427,4.60503,4.535146,-1.064317
3.9,0,1.300602,0.7401819,0.3198562,-12.29777,4.67251,4.541826,2.98803
3.92,0,1.301207,0.7447741,0.3351234,-12.30195,4.60503,4.543672,-0.8639995
3.94,0,1.310094,0.7509348,0.1671843,-12.33259,4.67251,4.549535,2.585526
3.96,0,1.308482,0.7531381,0.01451245,-12.34799,4.53755,4.530278,-4.866739
3.98,0,1.304626,0.7524937,0.02977964,-12.34612,4.53755,4.487174,-4.066261
4,0,1.296067,0.748619,-0.0007547362,-12.31789,4.60503,4.472685,1.694469
4.02,200,1.298072,0.965428,0.01451245,8.098621,4.60503,4.486681,3.157849
4.04,200,1.301355,1.424879,0.2740546,21.73621,4.60503,4.506403,3.978078
4.06,200,1.599692,2.028283,25.96872,29.91896,5.61723,4.807265,58.79212
4.08,200,2.534646,2.885034,45.2817,32.45404,4.267631,4.943881,-25.58885
4.1,200,3.639488,3.85846,58.42675,30.68506,5.27983,5.053811,21.03923
4.12,200,4.711491,4.811002,50.80843,26.14385,5.21235,5.303335,12.71322
4.14,200,5.573493,5.618711,44.1214,20.41012,5.21235,5.452844,-1.004651
4.16,200,6.422004,6.321205,43.70919,13.9194,4.267631,5.247939,-61.16349
4.18,200,7.028409,6.852632,31.84658,7.683805,4.60503,4.908509,-36.67366
4.2,200,7.361126,7.180246,21.5107,2.47719,4.60503,4.666065,-22.12464
4.22,200,7.60818,7.377006,10.51833,-1.775462,3.93023,4.299304,-48.37252
4.24,200,7.659292,7.436119,5.022148,-4.775389,4.20015,3.933698,-18.46312
4.26,200,7.607846,7.39757,-0.2297625,-6.617274,4.60503,3.817352,20.12688
4.28,200,7.60485,7.344497,2.319857,-7.839668,3.93023,3.667485,-10.60852
4.3,200,7.536085,7.266353,-0.6572433,-8.441334,3.25543,3.241394,-40.6794
4.32,200,7.518435,7.206081,0.2282531,-8.788382,3.93023,2.964954,15.50558
4.34,200,7.504454,7.161288,0.5183294,-8.977385,3.25543,2.770585,-5.799791
4.36,200,7.508052,7.13497,0.1824515,-9.115707,2.918031,2.456667,-14.30667
4.38,200,7.505398,7.117056,-0.2297625,-9.200322,2.31071,2.022007,-30.94522
4.4,200,7.515066,7.109893,0.02977964,-9.286922,2.985511,1.804139,27.00468
4.42,200,7.450118,7.077486,0.2740546,-9.140697,2.58063,1.740658,18.02348
4.44,200,7.389611,7.036777,-0.06182348,-8.853973,0.89363,1.222695,-68.38484
4.46,200,7.310508,6.986308,0.5793981,-8.413418,1.568431,0.6829513,-7.478699
4.48,200,7.30779,6.964708,0.9305434,-8.111007,1.23103,0.4024777,3.496032
4.5,200,7.222503,6.922278,0.4725278,-7.6415,-0.1185694,-0.1226945,-53.25854
4.52,0,7.286568,6.715817,1.083215,-27.93301,0.8261509,-0.471048,23.05335
4.54,0,7.32203,6.280257,0.8542075,-41.60875,0.5562305,-0.5201962,27.4043
4.56,0,7.267335,5.79068,-3.359534,-50.58324,-0.7933693,-0.8700241,-42.2634
4.58,0,6.595822,5.092867,-36.13817,-54.47588,-1.805569,-1.690026,-80.7249
4.6,0,5.484741,4.182007,-62.30612,-53.59128,-1.46817,-2.432852,-22.81382
4.62,0,4.328633,3.214314,-54.24504,-49.3754,-1.46817,-2.82457,16.20761
4.64,0,3.440963,2.382205,-50.12291,-43.77846,-1.40069,-2.938461,42.39637
4.66,0,2.551919,1.646992,-49.78703,-37.25312,-2.48037,-3.17781,-6.135152
4.68,0,1.804094,1.039369,-27.58855,-30.54952,-2.412889,-3.474723,11.8422
4.7,0,1.553136,0.7115116,-14.24503,-25.28869,-3.695009,-3.896977,-37.68089
4.72,0,1.359955,0.5379175,-12.19923,-21.16932,-3.762489,-4.356234,-17.27592
4.74,0,1.406863,0.5301733,-3.741214,-18.56606,-4.09989,-4.65617,-8.144453
4.76,0,1.332906,0.5383587,-3.954955,-16.59353,-4.09989,-4.806181,10.52292
4.78,0,1.314869,0.5680782,-0.9320526,-15.21844,-4.36981,-4.877054,7.066734
4.8,0,1.461035,0.6680245,1.174818,-14.75895,-4.707209,-4.978346,-4.742313
4.82,0,1.538,0.7626837,3.22062,-14.6927,-4.977129,-5.136599,-12.18875
4.84,0,1.532597,0.8136252,-0.7183124,-14.63042,-5.65193,-5.446597,-38.88242
4.86,0,1.591456,0.8671938,-1.725946,-14.77323,-5.92185,-5.83716,-36.98841
4.88,0,1.622711,0.9073738,-0.1381594,-14.9659,-5.65193,-6.050503,-1.815008
4.9,0,1.62142,0.9257379,0.6404669,-15.09027,-6.259249,-6.235663,-21.75946
4.92,0,1.62704,0.9360878,0.5488637,-15.19109,-6.93405,-6.615241,-47.85861
4.94,0,1.625875,0.9396077,0.1061156,-15.25483,-7.608849,-7.175024,-64.52767
4.96,0,1.623261,0.9395733,0.1213828,-15.28792,-5.92185,-7.218729,54.27374
4.98,0,1.616292,0.9360329,0.2435202,-15.28865,-6.93405,-7.070027,5.847208
5,0,1.629348,0.9395103,0.2282531,-15.33019,-6.664129,-7.033726,13.07347
5.02,0,1.658854,0.952876,0.09084838,-15.45166,-8.35113,-7.409799,-78.04545
5.04,0,1.670502,0.963182,-0.2144953,-15.56847,-7.20397,-7.727443,0.8137971
5.06,0,1.675894,0.9691762,0.5793981,-15.66325,-7.33893,-7.721136,11.54717
5.08,0,1.681166,0.9731331,0.2587874,-15.74285,-6.86657,-7.538164,37.4859
5.1,0,1.680876,0.9738517,0.06031401,-15.79521,-6.93405,-7.305049,25.87819
5.12,0,1.675094,0.9709563,-0.1686933,-15.81214,-6.93405,-7.154686,14.40183
5.14,0,1.675716,0.9693283,0.1824515,-15.82553,-6.93405,-7.074048,6.784587
5.16,0,1.683739,0.9715401,0.1213828,-15.85979,-6.93405,-7.037253,2.573539
5.18,0,1.692153,0.9756866,0.1061156,-15.90914,-6.93405,-7.024487,0.5522076
5.2,0,1.693103,0.9775453,0.1824515,-15.94506,-6.93405,-7.024021,-0.2485244
5.22,0,1.695429,0.9789402,0.01451245,-15.97636,-6.93405,-7.028505,-0.4009323
5.24,0,1.69653,0.9796476,0.1977187,-16.00072,-6.93405,-7.034307,-0.2742242
5.26,0,1.703635,0.9825884,0.04504682,-16.03934,-6.93405,-7.039199,-0.05040932
5.28,0,1.698213,0.9813129,0.01451245,-16.04805,-6.93405,-7.043947,0.1379955
5.3,0,1.700551,0.9814383,0.1824515,-16.06124,-6.93405,-7.047493,0.3389333
5.32,0,1.694926,0.9789493,0.04504682,-16.05236,-6.93405,-7.050597,0.4870487
5.34,0,1.696655,0.9784507,0.1824515,-16.05185,-6.86657,-7.034689,4.235298
5.36,0,1.695488,0.9776928,-0.01602192,-16.0479,-6.93405,-7.026497,-0.1040953
5.38,0,1.689812,0.9749798,0.2129859,-16.02742,-6.93405,-7.036386,-0.6157069
5.4,0,1.67831,0.9690425,0.06031401,-15.97758,-6.93405,-7.047344,-0.162356
5.42,0,1.676013,0.9656451,0.1366499,-15.93712,-6.93405,-7.054347,0.3868195
5.44,0,1.681421,0.9666951,-0.07709067,-15.92714,-6.93405,-7.057064,0.761898
5.46,0,1.690829,0.9713521,0.2129859,-15.95004,-6.93405,-7.056838,0.928137
5.48,0,1.686768,0.9718476,0.2282531,-15.95251,-6.93405,-7.056501,0.9295578
5.5,0,1.688707,0.9728861,0.1061156,-15.96025,-6.93405,-7.05596,0.9215608
5.52,-100,1.685522,0.8631846,0.1366499,-26.1574,-6.93405,-7.057663,0.5991538
5.54,-100,1.693378,0.6368793,0.09084838,-32.99866,-6.93405,-7.060423,-0.03337091
5.56,-100,1.639375,0.3763089,-3.329,-37.40404,-6.86657,-7.045873,2.95127
5.58,-100,1.424757,0.07046854,-13.58854,-39.67678,-6.93405,-7.049646,-2.016145
5.6,-100,0.9064414,-0.3512895,-30.1687,-39.56995,-7.811289,-7.330969,-49.48931
5.62,-100,-0.2119526,-1.046887,-64.30611,-35.98611,-7.811289,-7.794967,-37.12863
5.64,-100,-1.341815,-1.840368,-59.25268,-30.04606,-7.878769,-8.176354,-17.37612
5.66,-100,-2.351149,-2.59847,-50.61146,-22.91126,-6.93405,-8.162049,53.6621
5.68,-100,-3.237865,-3.2664,9.602302,-15.3641,-7.27145,-7.961866,38.37098
5.7,-100,-2.553979,-3.224577,25.03742,-12.48021,-6.664129,-7.538292,64.20592
5.72,-100,-1.900473,-2.88197,25.08322,-12.60829,-6.93405,-7.076588,32.34979
5.74,-100,-1.656699,-2.594094,8.228255,-13.45645,-7.20397,-6.866896,-3.849703
5.76,-100,-1.825296,-2.519693,-11.60381,-13.48864,-6.259249,-6.603606,36.0072
5.78,-100,-1.977245,-2.542499,-12.88626,-13.03154,-6.664129,-6.372026,2.019107
5.8,-100,-2.179314,-2.631454,-12.24503,-12.09031,-5.65193,-6.059646,43.71737
5.82,-100,-2.544839,-2.81689,-19.2374,-10.31298,-5.92185,-5.75974,14.06225
5.84,-100,-2.835472,-3.010451,-18.79465,-8.213839,-6.326729,-5.750628,-23.4769
5.86,-100,-3.087175,-3.186924,-12.48931,-6.021944,-6.596649,-5.962796,-39.4168
5.88,-100,-3.155711,-3.276162,-3.741214,-4.343214,-5.65193,-5.93347,21.38739
5.9,-100,-3.062742,-3.258815,6.411461,-3.515087,-5.92185,-5.740614,7.129556
