Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
3.08,-20.66185,0,0,0.2347118,-0.02401009,0.1519171,-6.624284,-0.5234499,-0.4580528,0.1896777,7932
3.1,-10.6003,0,0,0.2306495,-0.01078299,0.5793981,-7.164904,-0.3884897,-0.3730458,0.5730219,7944
3.12,-22.64404,0,0,0.2588526,0.002827644,0.02977964,-6.603128,-0.5234499,-0.4563921,0.2186667,7944
3.14,-24.17723,0,0,0.2544771,0.005779311,0.7626044,-7.44114,-0.5234499,-0.4823405,0.06950092,7956
3.16,-22.79849,0,0,0.2452891,-0.01257738,-0.5809073,-8.130584,-0.5234499,-0.4917139,-0.03432649,7952
3.18,-15.10971,0,0,0.2566088,-0.02041647,0.5793981,-8.469069,-0.4559698,-0.4363116,0.2666063,7940
3.2,-8.230258,0,0,0.249438,-0.02434841,-0.03128911,-7.887089,-0.3884897,-0.3660585,0.5461305,7964
3.22,-21.47235,0,0,0.2524565,-0.01599546,0.1366499,-6.822174,-0.5234499,-0.4553935,0.141963,7956
3.24,-11.50745,0,0,0.2511503,-0.0003632009,0.6557342,-7.44007,-0.3884897,-0.3721357,0.5344302,7944
3.26,-17.17771,0,0,0.2495443,-0.0007641613,-0.550373,-6.851014,-0.4559698,-0.405748,0.2964566,7956
3.28,-12.51323,0,0,0.2481337,0.006250843,0.9458106,-7.022482,-0.3884897,-0.3616516,0.4694066,7948
3.3,-18.7415,0,0,0.2357991,-0.0003269166,-0.5351062,-6.639342,-0.4559698,-0.4073921,0.1574473,7964
3.32,-13.5735,0,0,0.2489585,0.008769929,0.2893218,-7.042854,-0.3884897,-0.3638573,0.3942372,7948
3.34,-25.39165,0,0,0.2443608,0.001163527,0.304589,-6.791869,-0.5234499,-0.4630729,-0.1221244,7940
3.36,-19.52576,0,0,0.2417127,-0.004930109,-0.2297625,-7.804585,-0.4559698,-0.4361656,0.02496552,7940
3.38,-23.5183,0,0,0.2506928,-0.01691747,-0.3366328,-7.914636,-0.5234499,-0.481038,-0.1459577,7956
3.4,-10.70445,0,0,0.2609645,-0.01451881,0.6099325,-8.403677,-0.3884897,-0.3807894,0.39081,7956
3.42,-21.85612,0,0,0.2533016,-0.02212323,-0.6114421,-7.424184,-0.5234499,-0.4629291,-0.02652609,7956
3.44,-17.21992,0,0,0.2640036,-0.008709103,0.8542075,-7.920877,-0.4559698,-0.4287271,0.2327226,7952
3.46,-22.40297,0,0,0.2426,-0.0227132,-0.3366328,-7.733911,-0.5234499,-0.477641,-0.07781875,7952
3.48,-16.21921,0,0,0.2560893,-0.01845573,0.06031401,-8.160013,-0.4559698,-0.4331801,0.2233035,7916
3.5,-9.34554,0,0,0.2471048,-0.02105969,0.2282531,-7.788163,-0.3884897,-0.3670109,0.4782252,7952
3.52,-16.03777,0,0,0.233145,-0.02201957,-0.1228922,-6.810748,-0.4559698,-0.4053183,0.2420475,7948
3.54,-23.81547,0,0,0.2340494,-0.01423664,0.3351234,-6.845124,-0.5234499,-0.4709001,-0.02086592,7948
3.56,-17.73312,0,0,0.2342304,-0.01423745,-0.01602192,-7.652543,-0.4559698,-0.434938,0.1601772,7952
3.58,-16.30712,0,0,0.2407758,-0.01892082,-0.3519,-7.593218,-0.4559698,-0.4236718,0.2152364,7964
3.6,-10.36102,0,0,0.2496109,-0.01095834,0.6099325,-7.426037,-0.3884897,-0.364018,0.5137621,7964
3.62,-17.0825,0,0,0.2414935,-0.008458614,-0.1992282,-6.699344,-0.4559698,-0.4042694,0.2629015,7964
3.64,-18.68969,0,0,0.2492843,0.003381804,0.5030622,-6.918322,-0.4559698,-0.4153391,0.2395377,7956
3.66,-12.87899,0,0,0.2643423,0.01462692,0.304589,-7.26752,-0.3884897,-0.3629524,0.4870051,7956
3.68,-12.97977,0,0,0.2605099,0.0153703,0.4419934,-6.905991,-0.3884897,-0.3507233,0.4474998,7944
3.7,-20.11979,0,0,0.2517372,0.01323763,0.01451245,-6.657692,-0.4559698,-0.4047601,0.1247958,7952
3.72,-20.80129,0,0,0.260076,0.01568834,0.2893218,-7.237797,-0.4559698,-0.4193594,0.0797438,7948
3.74,-19.90656,0,0,0.2597177,0.006758258,0.2435202,-7.693518,-0.4559698,-0.4239215,0.0350228,7940
3.76,-18.75354,0,0,0.2472202,-0.01024924,0.06031401,-7.868458,-0.4559698,-0.4262839,-0.01632506,7956
3.78,-17.87131,0,0,0.2524683,-0.01584177,0.1671843,-7.876428,-0.4559698,-0.4243136,0.0477854,7956
3.8,-17.38226,0,0,0.2455294,-0.02125438,0.04504682,-7.770654,-0.4559698,-0.4234904,0.06306398,7948
3.82,-23.14741,0,0,0.2434117,-0.02531263,-0.01602192,-7.648571,-0.5234499,-0.4771279,-0.1413584,7972
3.84,-10.7568,0,0,0.2441948,-0.02264798,0.1366499,-8.138692,-0.3884897,-0.3812335,0.3535942,7964
3.86,-9.882713,0,0,0.2438117,-0.02055541,0.02977964,-7.210773,-0.3884897,-0.3540504,0.453352,7956
3.88,-17.69986,0,0,0.2368688,-0.01130512,0.06031401,-6.491422,-0.4559698,-0.4026389,0.211814,7956
3.9,-13.25474,0,0,0.2379013,0.001496717,0.3351234,-6.803557,-0.3884897,-0.3625398,0.3997059,7948
3.92,-25.37557,0,0,0.2442143,0.002361223,0.07558119,-6.596668,-0.5234499,-0.4614699,-0.07304871,7948
3.94,-19.67005,0,0,0.2416342,-0.00129649,0.1366499,-7.67282,-0.4559698,-0.4351968,0.05728602,7948
3.96,-17.54734,0,0,0.2339619,-0.01984489,-0.7183124,-7.789702,-0.4559698,-0.4284443,0.04350293,7964
