Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
5.64,0,-0.03414045,-0.02056142,-3.908398,1.301774
5.66,0,-0.03802546,-0.04279655,-3.908398,-0.1042836
5.68,0,-0.03392921,-0.0203729,-3.908398,1.298669
5.7,0,-0.03850053,-0.04450427,-3.938933,-0.1972101
5.72,0,-0.03757127,-0.02928567,-3.938933,0.9127229
5.74,0,-0.04210609,-0.04646686,-4.137406,-0.0433104
5.76,0,-0.03659063,-0.02003517,-3.755726,1.551728
5.78,0,-0.03263226,-0.02381896,-3.862597,0.918646
5.8,0,-0.03899817,-0.04740138,-4.030536,-0.3810325
5.82,0,-0.0316721,-0.0115463,-3.969467,1.795934
5.84,0,-0.02775002,-0.0204147,-3.893131,0.7686462
5.86,0,-0.02757117,-0.02482226,-3.893131,0.4093649
5.88,0,-0.03287487,-0.0388924,-3.9542,-0.2378354
5.9,0,-0.03373682,-0.02939909,-3.923666,0.5772643
5.92,0,-0.03394245,-0.03041167,-3.938933,0.5155008
5.94,0,-0.03072806,-0.02097615,-3.893131,0.9787421
5.96,0,-0.02857383,-0.0224013,-3.938933,0.6838253
5.98,0,-0.03263215,-0.03700285,-3.938933,-0.1109779
6,0,-0.04136133,-0.05126923,-3.877864,-0.4816355
6.02,200,-0.04280824,-0.03751577,-3.893131,44.396
6.04,200,-0.08518656,0.7186421,-2.442749,107.06
6.06,200,0.5816588,2.48122,38.30536,187.923
6.08,200,1.938283,4.739003,65.08399,248.7094
6.1,200,3.34095,5.848973,64.88552,215.9214
6.12,200,4.30969,5.912822,49.57253,138.4016
6.14,200,5.288359,6.954838,44.59544,136.452
6.16,200,5.652435,6.084038,16.07634,37.42197
6.18,200,5.688397,5.738926,-0.5343513,7.424183
6.2,200,5.813551,6.093675,2.687024,24.48055
6.22,200,5.935284,6.145493,2.580153,18.15546
6.24,200,5.981462,6.055221,0.3511451,7.172312
6.26,200,6.027006,6.120681,-0.4580154,8.408634
6.28,200,6.04239,6.072458,-1.923665,3.331175
6.3,200,6.084919,6.173525,-1.526718,7.60433
6.32,200,6.07195,6.044859,-2.992367,-1.342281
6.34,200,6.089663,6.141852,-2.442749,4.727283
6.36,200,6.062224,6.016307,-3.938933,-2.743412
6.38,200,6.037382,6.01969,-4.396948,-0.3614912
6.4,200,6.023605,6.023281,-4.06107,1.09198
6.42,200,6.02003,6.036137,-3.694658,2.400309
6.44,200,6.006007,6.000864,-3.862597,0.8392849
6.46,200,5.989752,5.986937,-3.984734,1.136307
