Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado
3.64,-133.916,-5,1.18587,0.4626598,-30.97787,-21.16302,-6.326729,-6.225868
3.66,-61.3197,-5,0.9035243,0.05928658,-15.29847,-30.78998,-6.326729,-6.471747
3.68,-32.3606,-5,0.711448,-0.3245197,-11.42061,-29.17997,-6.326729,-6.562612
3.7,-18.38232,-5,0.7500221,-0.5029711,6.014514,-25.32271,-6.259249,-6.510018
3.72,-31.66455,-5,0.8029253,-0.5390815,1.358024,-21.56519,-6.259249,-6.452696
3.74,-39.04077,-5,0.7220471,-0.5451093,-5.863352,-20.16527,-6.259249,-6.429892
3.76,-42.4928,-5,0.7176922,-0.5379633,-0.6725109,-19.97751,-6.259249,-6.417199
3.78,-57.81274,-5,0.7919226,-0.522754,2.335124,-20.48438,-6.326729,-6.44145
3.8,-41.45325,-5,0.7215512,-0.5457826,-4.016023,-22.10878,-6.259249,-6.423671
3.82,-41.82153,-5,0.5943215,-0.6078176,-6.947322,-21.10606,-6.259249,-6.429553
3.84,-39.55945,-5,0.4776379,-0.6658226,-6.748848,-20.09141,-6.259249,-6.437112
3.86,-38.16943,-5,0.4252756,-0.7001612,-4.092359,-19.01716,-6.259249,-6.434465
3.88,-25.12854,-5,0.3395675,-0.7204633,-4.122893,-17.85116,-6.191769,-6.392215
3.9,-40.0271,-5,0.2493764,-0.7386017,-4.016023,-15.48155,-6.259249,-6.413539
3.92,-35.07837,-5,0.195344,-0.74036,-2.214496,-15.23113,-6.259249,-6.417988
3.94,-34.62317,-5,0.2417162,-0.7188144,1.541231,-14.71519,-6.259249,-6.403409
3.96,-35.7511,-5,0.2517858,-0.6937921,0.2282531,-14.35789,-6.259249,-6.389341
3.98,-37.27002,-5,0.2746985,-0.6671385,0.7931387,-14.31063,-6.259249,-6.376312
4,-37.71338,-5,0.2526864,-0.6571058,-1.313733,-14.35708,-6.259249,-6.371325
4.02,-49.61572,-5,0.2535801,-0.6596881,-0.2450293,-14.46084,-6.326729,-6.406572
4.04,-33.57666,-5,0.2675881,-0.6602306,0.06031401,-15.7543,-6.259249,-6.377106
4.06,-61.6001,-5,0.288388,-0.6782532,0.5030622,-15.11472,-6.394209,-6.439874
4.08,-53.01318,-5,0.2596801,-0.7111024,-1.558007,-17.43002,-6.394209,-6.470289
4.1,-38.56042,-5,0.2596822,-0.7514062,-0.01602192,-18.07344,-6.326729,-6.440451
4.12,-43.0437,-5,0.2082386,-0.7918704,-2.962588,-16.87608,-6.326729,-6.428821
4.14,-32.77454,-5,0.1395579,-0.8171574,-4.061825,-16.2898,-6.259249,-6.386135
4.16,-49.677,-5,0.08513068,-0.841638,-2.24503,-14.71333,-6.326729,-6.408368
4.18,-36.30676,-5,0.1145238,-0.8322344,1.388559,-15.45687,-6.259249,-6.367974
4.2,-42.1936,-5,0.1250221,-0.8253812,-0.3977011,-14.63803,-6.259249,-6.346287
4.22,-45.13806,-5,0.1162501,-0.8184099,-0.7183124,-14.66787,-6.259249,-6.336604
4.24,-47.71265,-5,0.158011,-0.8069808,0.9000088,-15.1318,-6.259249,-6.326571
4.26,-49.2124,-5,0.1491881,-0.8131584,-0.2755641,-15.67529,-6.259249,-6.32475
4.28,-50.2771,-5,0.1502216,-0.8280169,0.5183294,-16.19735,-6.259249,-6.324204
4.3,-51.15149,-5,0.1397937,-0.8510485,-0.5351062,-16.62359,-6.259249,-6.324965
4.32,-75.30859,-5,0.1342163,-0.8923371,0.04504682,-17.03498,-6.394209,-6.406188
4.34,-42.70105,-5,0.1352582,-0.9283372,-0.6419765,-19.70805,-6.259249,-6.360252
4.36,-50.98999,-5,0.1368118,-0.9671118,-0.1381594,-18.19988,-6.259249,-6.337228
4.38,-55.65576,-5,0.1208616,-0.9850487,-2.580908,-18.00224,-6.259249,-6.326492
4.4,-55.92151,-5,0.02126931,-1.027812,-5.161061,-18.01668,-6.259249,-6.334298
4.42,-53.39172,-5,-0.09449466,-1.088752,-6.000757,-17.66867,-6.259249,-6.348089
4.44,-63.56311,-5,-0.1320373,-1.139036,-1.573274,-17.08667,-6.326729,-6.390151
4.46,126.0211,-5,-0.1276098,-1.04213,-0.4282355,-17.34429,-5.247049,-5.749556
4.48,17.72473,-5,-0.1852019,-0.8799661,-2.580908,1.756122,-5.38201,-5.542519
4.5,-6.000244,-5,-0.1670974,-0.5880194,5.617568,3.377039,-5.38201,-5.448892
4.52,-72.51355,-5,0.4642286,-0.2545626,31.44964,-0.162945,-5.65193,-5.508969
4.54,-60.15417,-5,1.030608,0.01544729,25.48017,-11.10223,-5.58445,-5.468211
4.56,-69.98315,-5,1.289648,0.1006153,10.59467,-17.97604,-5.58445,-5.472641
4.58,-82.05139,-5,1.213569,0.006632328,-6.947322,-23.31547,-5.65193,-5.568766
4.6,-20.75024,-5,0.8802987,-0.2084032,-18.47404,-26.87132,-5.38201,-5.513852
4.62,-23.60693,-5,0.3772746,-0.4938706,-25.22214,-21.36285,-5.38201,-5.546325
4.64,-11.34583,-5,-0.2033473,-0.7585496,-28.55038,-16.06422,-5.38201,-5.603431
4.66,14.33691,-5,-0.5967766,-0.9337538,-9.863353,-9.959307,-5.314529,-5.591903
4.68,-0.7724609,-5,-0.06414114,-0.7813677,29.22063,-5.118519,-5.314529,-5.469121
4.7,-251.6288,-5,0.2441135,-0.7007017,22.93055,-4.981861,-6.664129,-6.184016
4.72,12.55396,-5,0.6520514,-0.6006683,22.27406,-31.20124,-5.65193,-5.868698
4.74,-44.64783,-5,1.132608,-0.5843128,18.86948,-23.49601,-5.65193,-5.690526
4.76,-63.64124,-5,1.183202,-0.5065707,-6.107628,-24.39099,-5.58445,-5.589243
4.78,-75.72095,-5,0.5413064,-0.6838928,-31.0084,-24.78946,-5.65193,-5.701603
4.8,9.741211,-5,-0.1533391,-0.9638349,-32.80993,-23.80773,-5.314529,-5.631841
4.82,3.453613,-5,-0.4780189,-1.145597,-10.2603,-13.43013,-5.314529,-5.596585
4.84,-3.827637,-5,-0.4137776,-1.092744,2.930544,-7.415287,-5.314529,-5.524241
4.86,-61.88184,-5,-0.1690316,-0.9374988,14.85421,-5.083411,-5.58445,-5.602192
4.88,-58.25195,-5,0.3340962,-0.7074814,26.65574,-11.08617,-5.58445,-5.577807
4.9,-75.97681,-5,0.6247578,-0.574974,12.94581,-15.68838,-5.65193,-5.599009
4.92,-129.8948,-5,0.6182904,-0.6177828,-1.145793,-20.63374,-5.989328,-5.842815
4.94,-29.2583,-5,0.5840099,-0.7212392,-5.008389,-29.09192,-5.58445,-5.72997
4.96,-58.02771,-5,0.4430815,-0.8835125,-8.519841,-24.09399,-5.65193,-5.738989
4.98,-40.29932,-5,0.03427834,-1.047285,-24.2145,-22.31469,-5.58445,-5.744282
5,-37.8363,-5,-0.6308379,-1.301404,-33.9855,-17.12458,-5.65193,-5.849967
5.02,-0.02282715,-5,-1.196422,-1.523193,-28.33664,-11.48619,-5.58445,-5.880248
5.04,-13.77197,-5,-0.9344375,-1.474764,18.36566,-4.822361,-5.65193,-5.838116
5.06,-26.06067,-5,-0.4746743,-1.224663,20.01452,-3.335777,-5.65193,-5.731563
5.08,-100.1926,-5,-0.1162877,-0.9941887,18.60994,-4.912994,-5.989328,-5.851875
5.1,80.87384,-5,0.4500906,-0.6530429,26.3046,-14.96921,-4.977129,-5.25347
5.12,-7.287476,-5,0.850194,-0.3473172,15.54123,-4.710116,-4.977129,-4.976304
5.14,-40.54468,-5,0.7928362,-0.1096002,-2.306099,-6.675966,-4.977129,-4.91083
5.16,-45.97144,-5,0.7694915,-0.02783042,3.083216,-11.26512,-4.977129,-4.931348
5.18,-50.42969,-5,1.047979,0.02546486,12.18246,-15.80233,-4.977129,-4.932714
5.2,-53.91162,-5,1.11307,0.0002515316,1.235887,-19.49599,-4.977129,-4.952534
5.22,-51.61682,-5,0.9719537,-0.1185958,-8.351902,-21.8398,-4.977129,-5.00033
5.24,-217.2842,-5,0.7118897,-0.4219677,-12.61145,-22.68089,-5.989328,-5.670178
5.26,-116.5271,-5,0.518909,-0.7924767,-9.893888,-39.29346,-5.92185,-5.946196
5.28,-83.01575,-5,0.2839123,-1.246968,-13.57328,-39.31348,-5.92185,-6.074102
5.3,-52.44434,-5,-0.2434793,-1.647126,-30.2603,-34.16393,-5.85437,-6.112525
5.32,13.87952,-5,-1.162765,-2.021137,-50.24504,-24.47185,-5.58445,-6.02845
5.34,22.09998,-5,-2.100081,-2.313869,-46.68779,-8.174973,-5.58445,-6.029647
5.36,-42.89954,-5,-2.175052,-2.305365,21.81605,3.581734,-5.989328,-6.186681
5.38,-82.5061,-5,-1.208445,-1.923709,44.97636,1.485191,-6.259249,-6.234782
5.4,87.49292,-5,-0.3059214,-1.36531,47.87712,-6.524483,-5.247049,-5.543127
5.42,-91.10681,-5,0.6951146,-0.7811877,42.0756,1.803583,-5.65193,-5.399276
5.44,-101.9192,-5,0.7079861,-0.4461583,-6.214497,-10.7945,-5.65193,-5.423289
5.46,-88.93457,-5,0.4680111,-0.4977413,-11.60381,-19.40481,-5.65193,-5.538399
5.48,-73.79834,-5,0.3261793,-0.6874868,-5.939688,-23.32356,-5.65193,-5.630328
5.5,-62.06592,-5,0.09005953,-0.9213184,-11.80229,-23.61224,-5.65193,-5.697901
5.52,-52.71082,-5,-0.1842017,-1.142485,-15.75649,-21.7133,-5.65193,-5.74547
5.54,176.2632,-5,-0.5034017,-1.185033,-17.78702,-17.96699,-4.36981,-5.009892
5.56,84.46844,-5,-0.8938686,-1.096652,-18.32137,8.936519,-4.36981,-4.695162
5.58,61.34454,-5,-0.9740068,-0.7400501,3.235888,17.75509,-4.30233,-4.494512
5.6,-11.04358,-5,-0.4828448,-0.2927281,32.47254,19.53991,-4.572248,-4.504709
