Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
2.5,59.3584,-5,-0.9192485,-0.74088,15.00688,7.345353,-6.529169,-6.800905,-2.367202,8416
2.52,16.18579,-5,-0.3815561,-0.4072416,28.12139,12.14137,-6.596649,-6.658131,0.634214,8424
2.54,-70.60254,-5,0.3651744,0.004494339,36.41147,8.314832,-6.93405,-6.717629,1.82383,8432
2.56,-69.08545,-5,0.9476213,0.2983069,27.67864,-4.943767,-6.93405,-6.725488,1.368979,8444
2.58,-63.19055,-5,1.297474,0.3882173,13.44963,-14.73248,-6.86657,-6.707244,-0.1577172,8452
2.6,-79.15344,-5,1.200493,0.2578833,-6.122894,-20.35213,-6.93405,-6.802157,-2.810802,8440
2.62,-1.579468,-5,0.590243,-0.05928698,-36.59619,-23.53675,-6.596649,-6.74305,-5.110201,8440
2.64,64.12219,-5,-0.4571492,-0.501542,-55.87863,-14.1737,-6.259249,-6.626735,-6.447522,8444
2.66,63.51453,-5,-1.396461,-0.852021,-52.58092,1.816501,-6.259249,-6.624365,-5.901937,8428
2.68,75.72656,-5,-1.951462,-0.9824854,-15.49694,14.23263,-6.259249,-6.604998,-3.449914,8392
2.7,5.138916,-5,-0.8652155,-0.5901118,64.88477,19.94495,-6.529169,-6.540964,1.992637,8412
2.72,-42.7594,-5,0.2725421,-0.01215151,56.24354,12.7266,-6.664129,-6.455534,4.624442,8440
2.74,-110.8053,-5,1.120093,0.4066728,42.51834,0.1571882,-6.93405,-6.544083,3.865169,8452
2.76,-107.0897,-5,1.602621,0.5568054,23.57177,-16.68037,-6.93405,-6.612215,1.457911,8484
2.78,-33.29663,-5,1.600169,0.4404915,-7.680146,-27.32952,-6.529169,-6.474477,-1.23779,8468
2.8,8.649414,-5,0.5748361,-0.001717318,-60.65726,-23.41745,-6.259249,-6.418318,-4.99282,8404
2.82,-151.502,-5,-0.7895011,-0.6968312,-66.71834,-12.40638,-7.27145,-7.145933,-9.39031,8400
2.84,-45.21008,-5,-1.510138,-1.281744,-34.68779,-18.85017,-7.27145,-7.478721,-9.260448,8452
2.86,152.2506,-5,-0.9776074,-1.37409,32.36567,-13.77298,-6.259249,-6.849607,-3.44966,8448
2.88,60.78796,-5,-0.8174714,-1.169092,8.518332,8.961761,-6.259249,-6.491189,-0.4674808,8388
2.9,21.21753,-5,-0.9327525,-0.8232046,-7.481674,15.13669,-6.259249,-6.336709,0.8510599,8392
2.92,-60.39966,-5,-0.3879385,-0.4328691,24.22826,13.28379,-6.596649,-6.415101,2.129366,8404
2.94,-70.98364,-5,0.8514392,0.06663647,59.49545,-0.3577876,-6.596649,-6.331813,3.861053,8432
2.96,-151.1672,-5,1.532708,0.3119377,33.40384,-12.89367,-6.93405,-6.495652,1.621234,8428
2.98,-66.79529,-5,1.274731,0.1749427,-17.77175,-28.3238,-6.596649,-6.486025,-2.133816,8440
3,15.34265,-5,-0.1633077,-0.4394224,-76.58093,-25.0585,-6.259249,-6.496872,-6.574192,8416
3.02,-136.1971,-5,-1.566315,-1.223491,-75.06948,-10.26839,-7.27145,-7.227213,-9.92715,8412
3.04,-25.72498,-5,-2.422786,-1.834844,-34.94733,-12.86915,-7.27145,-7.549684,-8.971581,8444
3.06,144.9694,-5,-0.80044,-1.579929,58.65575,-8.509027,-6.259249,-6.754508,0.2075109,8448
3.08,15.62158,-5,-0.2637397,-1.099737,28.27406,9.741307,-6.326729,-6.356094,2.593351,8384
3.1,-61.19482,-5,-0.3822069,-0.7082298,-12.04656,9.046983,-6.529169,-6.362468,1.596831,8404
3.12,-57.82471,-5,-0.5799192,-0.5934811,0.8694746,1.498135,-6.596649,-6.480633,0.1573552,8424
3.14,-121.5458,-5,0.421859,-0.3869645,56.38095,-6.656969,-6.93405,-6.62543,1.189667,8412
3.16,-128.7607,-5,1.062514,-0.2639739,28.77788,-20.70037,-7.00153,-6.697822,0.02320099,8440
3.18,-106.5454,-5,0.8467774,-0.4622318,-20.56565,-30.00463,-6.93405,-6.779824,-3.417909,8424
3.2,-12.23047,-5,-0.599498,-1.076529,-75.10001,-28.94039,-6.596649,-6.820997,-7.614736,8440
