Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
3.66,0,1.456825,1.064668,-17.78702,-18.05469,5.61723,5.598433,-24.04034
3.68,0,1.229728,0.9134644,-10.93206,-14.76739,5.27983,6.236562,-281.0641
3.7,0,1.11852,0.8788652,-7.512208,-11.89378,5.21235,4.212313,185.6804
3.72,0,1.03029,0.8335419,-4.214497,-10.18768,5.21235,4.413792,159.3063
3.74,0,0.9536567,0.7825263,-3.11526,-9.078552,5.27983,4.558391,158.4548
3.76,0,0.9292951,0.7875866,-0.962587,-8.044024,6.22455,1.875934,1099.305
3.78,0,0.9554766,0.8401951,0.07558119,-7.296329,6.22455,8.589692,-492.5338
3.8,0,0.9576564,0.8436323,0.1213828,-7.265157,6.22455,7.045394,-173.1308
3.82,0,0.9991068,0.8960305,-0.3213652,-7.070476,4.87495,11.20538,-1602.89
3.84,0,1.004651,0.8927433,0.7473372,-7.375007,5.95463,-2.41181,1961.054
3.86,0,0.9933862,0.8732207,-0.183961,-7.597009,5.95463,7.426336,-308.9379
3.88,0,1.015865,0.9026666,0.6862684,-7.458072,5.887151,6.653199,-175.7475
3.9,0,1.010664,0.8908346,0.09084838,-7.651359,6.02211,5.354632,163.4625
3.92,0,1.022903,0.9057453,0.4877952,-7.611609,5.95463,6.516691,-134.15
3.94,0,1.029529,0.910916,0.1366499,-7.683364,5.887151,6.044637,-50.46284
3.96,0,1.029227,0.907693,0.07558119,-7.775861,5.887151,5.58847,58.24649
3.98,0,1.027444,0.9044517,0.1366499,-7.815814,5.887151,5.704435,34.20035
4,0,1.042663,0.9238852,0.09084838,-7.73801,5.887151,5.746746,25.87444
4.02,200,1.0488,0.9279671,0.1366499,16.77278,5.95463,5.534145,98.07251
4.04,200,1.033945,1.398184,0.1366499,32.36057,5.95463,6.018851,-17.32744
4.06,200,1.187698,1.777741,18.74734,39.00485,5.95463,5.897848,11.93663
4.08,200,2.086816,2.950857,47.02216,44.39207,5.887151,6.17415,-56.10482
4.1,200,2.98234,3.878732,54.82369,42.04169,5.887151,6.059993,-21.1921
4.12,200,4.074015,4.967888,51.81606,37.84166,5.95463,6.006186,20.02899
